disease,mrr,hit1,conf,n,GPT,Gemini,Llama,frac_consistent,disease_name,drug,area,doid,n_kg,model_spread,doidn,orig,modality,year
Diabetic retinopathy/DME (EMA Mar+May 2026),0.4659318048206937,0.37037037037037035,2.411764705882353,54,0.41997354497354494,0.423831569664903,0.5539902998236331,0.3333333333333333,Diabetic retinopathy/DME (EMA Mar+May 2026),faricimab,Ophthalmology,DOID:8947,1.0,0.13401675485008818,8947,2022.0,Antibody,2024-2026
Nephrotic syndrome,0.4659611992945326,0.25925925925925924,2.1296296296296298,54,0.4366402116402116,0.5962962962962962,0.3649470899470899,0.16666666666666666,Nephrotic syndrome,rituximab,Nephrology,DOID:1184,3.0,0.2313492063492063,1184,2001.0,Antibody,2024-2026
HER2+ solid tumors (tumor-agnostic),0.4884112286890065,0.2222222222222222,2.4150943396226414,54,0.40154320987654324,0.6111111111111112,0.452579365079365,0.4074074074074074,HER2+ solid tumors (tumor-agnostic),trastuzumab deruxtecan,Oncology,DOID:7360,2.0,0.20956790123456792,7360,2014.0,Antibody,2023
Acute HCV pediatric,0.5176510989010988,0.25,2.156862745098039,52,0.47870370370370374,0.6270833333333333,0.4593253968253968,0.25,Acute HCV pediatric,glecaprevir/pibrentasvir,Infectious,DOID:684,3.0,0.16775793650793652,684,2017.0,Small mol,2024-2026
HER2+ early-stage BC (neoadjuvant + adjuvant),0.529049088771311,0.2962962962962963,2.4615384615384617,54,0.45445326278659615,0.654320987654321,0.4783730158730159,0.4074074074074074,HER2+ early-stage BC (neoadjuvant + adjuvant),trastuzumab deruxtecan,Oncology,DOID:1612,2.0,0.19986772486772486,1612,2020.0,Antibody,2023
Generalized myasthenia gravis,0.5384259259259259,0.3888888888888889,2.611111111111111,54,0.5972222222222222,0.625,0.39305555555555555,0.37037037037037035,Generalized myasthenia gravis,inebilizumab,Immunology,DOID:437,3.0,0.23194444444444445,437,2007.0,Antibody,2023
COPD (EMA 2025),0.569047619047619,0.32075471698113206,2.943396226415094,53,0.7379629629629629,0.4872549019607843,0.4773809523809523,0.49056603773584906,COPD (EMA 2025),dupilumab,Immunology,DOID:3083,3.0,0.26058201058201064,3083,2017.0,Antibody,2024-2026
1L biliary tract cancer (+gemcitabine+cisplatin),0.572843665768194,0.3584905660377358,2.830188679245283,53,0.5634920634920635,0.8088235294117647,0.3593253968253968,0.22641509433962265,1L biliary tract cancer (+gemcitabine+cisplatin),pembrolizumab,Oncology,DOID:4607,3.0,0.4494981325863679,4607,2014.0,Antibody,2023
COPD,0.5778301886792453,0.3584905660377358,2.7547169811320753,53,0.5828703703703704,0.653921568627451,0.5009259259259259,0.41509433962264153,COPD,dupilumab,Immunology,DOID:3083,3.0,0.1529956427015251,3083,2017.0,Antibody,2024-2026
Cerebral folate transport deficiency,0.5835879005690326,0.39622641509433965,1.9423076923076923,53,0.5958994708994709,0.673202614379085,0.48664021164021165,0.18867924528301888,Cerebral folate transport deficiency,leucovorin calcium,CNS,DOID:0050719,1.0,0.18656240273887337,50719,1983.0,Small mol,2024-2026
HER2-mutant NSCLC (EMA),0.5973691945914168,0.46296296296296297,2.0576923076923075,54,0.4212742504409171,0.8981481481481483,0.47268518518518515,0.2222222222222222,HER2-mutant NSCLC (EMA),trastuzumab deruxtecan,Oncology,DOID:3908,3.0,0.47687389770723115,3908,2014.0,Antibody,2023
HER2-mutant NSCLC (PMDA),0.6199514991181658,0.4444444444444444,2.074074074074074,54,0.5574074074074074,0.8611111111111112,0.4413359788359788,0.25925925925925924,HER2-mutant NSCLC (PMDA),trastuzumab deruxtecan,Oncology,DOID:3908,3.0,0.41977513227513236,3908,2014.0,Antibody,2023
Indolent systemic mastocytosis,0.6368312757201645,0.5555555555555556,3.5,54,0.6051587301587301,0.6878306878306878,0.6175044091710759,0.6296296296296297,Indolent systemic mastocytosis,avapritinib,Hematology,DOID:349,2.0,0.08267195767195767,349,2020.0,Small mol,2023
Biliary tract cancer,0.6388007054673721,0.46296296296296297,3.2222222222222223,54,0.6453703703703704,0.7037037037037037,0.5673280423280423,0.5,Biliary tract cancer,pembrolizumab,Oncology,DOID:4607,3.0,0.13637566137566137,4607,2014.0,Antibody,2023
Pediatric glioma (EMA),0.6679526748971193,0.5370370370370371,3.4150943396226414,54,0.6939814814814815,0.6861111111111111,0.6237654320987654,0.6666666666666666,Pediatric glioma (EMA),dabrafenib,Oncology,DOID:3774,3.0,0.07021604938271608,3774,2014.0,Small mol,2023
ILD-associated pulmonary hypertension,0.6732216343327454,0.5185185185185185,3.1153846153846154,54,0.6870370370370371,0.7657407407407407,0.5668871252204586,0.46296296296296297,ILD-associated pulmonary hypertension,treprostinil,Cardiovascular,DOID:6432,3.0,0.19885361552028213,6432,2013.0,Small mol,2023
RET-fusion NSCLC (expanded),0.680518812463257,0.6111111111111112,3.576923076923077,54,0.7106481481481481,0.7638888888888888,0.5670194003527337,0.6296296296296297,RET-fusion NSCLC (expanded),selpercatinib,Oncology,DOID:3908,3.0,0.19686948853615516,3908,2014.0,Antibody,2023
Indolent systemic mastocytosis (EMA),0.6834803057025278,0.6296296296296297,3.480769230769231,54,0.6622574955908289,0.7175925925925926,0.6705908289241622,0.6111111111111112,Indolent systemic mastocytosis (EMA),avapritinib,Hematology,DOID:349,2.0,0.055335097001763645,349,2020.0,Small mol,2023
IgG4-related disease,0.6888227513227513,0.6296296296296297,3.2222222222222223,54,0.6815476190476191,0.7093253968253967,0.675595238095238,0.5,IgG4-related disease,inebilizumab,Immunology,DOID:0080356,1.0,0.03373015873015872,80356,2020.0,Antibody,2024-2026
Acquired hypothalamic obesity,0.6895870076425632,0.6296296296296297,3.5384615384615383,54,0.6639109347442681,0.7199074074074074,0.6849426807760142,0.6296296296296297,Acquired hypothalamic obesity,setmelanotide,Metabolic,DOID:6676,2.0,0.05599647266313934,6676,2020.0,Peptide,2024-2026
Metastatic colorectal cancer,0.7019459706959706,0.5576923076923077,3.3461538461538463,52,0.6903439153439153,0.7572916666666667,0.6643518518518519,0.6730769230769231,Metastatic colorectal cancer,trifluridine/tipiracil+bevacizumab,Oncology,DOID:0080199,3.0,0.09293981481481484,80199,2020.0,Small mol,2023
HR+/HER2- metastatic breast cancer,0.7113315696649031,0.6388888888888888,3.419047619047619,108,0.7713293650793651,0.7671957671957672,0.5954695767195767,0.5925925925925926,HR+/HER2- metastatic breast cancer,sacituzumab govitecan / talazoparib,Oncology,DOID:1612,2.0,0.17585978835978844,1612,2020.0,Antibody,2023
MASH with fibrosis,0.7139844209288654,0.5925925925925926,3.5576923076923075,54,0.582010582010582,1.0,0.5599426807760142,0.5555555555555556,MASH with fibrosis,semaglutide,Metabolic,DOID:0080547,1.0,0.44005731922398583,80547,2021.0,Peptide,2024-2026
Advanced RCC after PD-1/PD-L1 + VEGF-TKI,0.7222446840371368,0.5849056603773585,3.576923076923077,53,0.7152777777777778,0.8725490196078431,0.587257495590829,0.5660377358490566,Advanced RCC after PD-1/PD-L1 + VEGF-TKI,belzutifan,Oncology,DOID:4450,3.0,0.2852915240170142,4450,2021.0,Small mol,2023
Chronic kidney disease,0.7298353909465021,0.6111111111111112,3.207547169811321,54,0.674537037037037,0.8611111111111112,0.653858024691358,0.5370370370370371,Chronic kidney disease,empagliflozin,Cardiovascular,DOID:784,3.0,0.20725308641975315,784,2014.0,Small mol,2023
Agitation associated with Alzheimer's dementia,0.7311229787865302,0.5794392523364486,3.673076923076923,107,0.6942791005291006,0.8571428571428571,0.6454475308641975,0.6728971962616822,Agitation associated with Alzheimer's dementia,brexpiprazole / dextromethorphan+bupropion,CNS,DOID:10652,3.0,0.2116953262786596,10652,2015.0,Small mol,2023
Urothelial carcinoma (expanded population),0.7326145552560647,0.6415094339622641,3.509433962264151,53,0.8597883597883598,1.0,0.3529100529100529,0.5849056603773585,Urothelial carcinoma (expanded population),enfortumab vedotin,Oncology,DOID:4006,3.0,0.6470899470899472,4006,2014.0,Antibody,2023
Polycythaemia vera and essential thrombocytopenia,0.7334068195179306,0.6111111111111112,3.2830188679245285,54,0.7240740740740741,0.8240740740740741,0.6520723104056437,0.6481481481481481,Polycythaemia vera and essential thrombocytopenia,peginterferon alfa-2a,Hematology,DOID:8997,3.0,0.17200176366843034,8997,2002.0,Small mol,2024-2026
Neoadj+adj HNSCC,0.7470275531596285,0.6415094339622641,3.7058823529411766,53,0.8487654320987654,0.8431372549019608,0.5545194003527336,0.4528301886792453,Neoadj+adj HNSCC,pembrolizumab,Oncology,DOID:5520,2.0,0.2942460317460318,5520,2014.0,Antibody,2024-2026
Invasive fungal infections pediatric ≥2yr,0.7506907701352146,0.6296296296296297,2.849056603773585,54,0.6255291005291005,0.9722222222222222,0.6543209876543209,0.5555555555555556,Invasive fungal infections pediatric ≥2yr,posaconazole,Infectious,DOID:0050073,3.0,0.3466931216931217,50073,2015.0,Small mol,2023
Measles prophylaxis post-exposure,0.7527777777777778,0.5925925925925926,2.8518518518518516,54,0.7407407407407408,0.8055555555555556,0.712037037037037,0.5,Measles prophylaxis post-exposure,immune globulin IV,Infectious,DOID:8622,3.0,0.09351851851851856,8622,2008.0,Small mol,2024-2026
TRD monotherapy,0.7585905349794239,0.5925925925925926,4.078431372549019,54,0.6697530864197531,0.9166666666666666,0.6893518518518519,0.8148148148148148,TRD monotherapy,esketamine,CNS,DOID:1470,2.0,0.24691358024691357,1470,2019.0,Small mol,2024-2026
Pediatric BRAF V600E low-grade glioma,0.7876028806584363,0.7037037037037037,3.75,54,0.7677469135802469,0.8138888888888889,0.7811728395061728,0.6851851851851852,Pediatric BRAF V600E low-grade glioma,dabrafenib+trametinib,Oncology,DOID:0060101,1.0,0.04614197530864195,60101,2014.0,Small mol,2023
HR+/HER2- node-positive high-risk early breast cancer,0.8009994121105232,0.6851851851851852,4.42,54,0.7764550264550265,0.9166666666666666,0.7098765432098766,0.8333333333333334,HR+/HER2- node-positive high-risk early breast cancer,abemaciclib,Oncology,DOID:1612,2.0,0.20679012345679004,1612,2020.0,Antibody,2023
EGPA,0.8042452830188679,0.6792452830188679,3.4423076923076925,53,0.9629629629629629,0.5980392156862745,0.8402777777777778,0.7169811320754716,EGPA,omalizumab,Immunology,DOID:3049,3.0,0.3649237472766884,3049,2017.0,Antibody,2024-2026
Pediatric atopic dermatitis,0.819257262653489,0.7358490566037735,4.098039215686274,53,0.9166666666666666,1.0,0.5511463844797179,0.7358490566037735,Pediatric atopic dermatitis,upadacitinib,Immunology,DOID:0110098,2.0,0.44885361552028213,110098,2021.0,Antibody,2023
Pheochromocytoma/paraganglioma,0.8196208112874779,0.7222222222222222,3.759259259259259,54,0.8287037037037037,0.9027777777777778,0.7273809523809524,0.7407407407407407,Pheochromocytoma/paraganglioma,belzutifan,Oncology,DOID:0050771,3.0,0.17539682539682544,50771,2021.0,Small mol,2024-2026
Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),0.8236625514403292,0.7037037037037037,4.264150943396227,54,0.8302469135802469,0.8888888888888888,0.7518518518518519,0.8703703703703703,Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),durvalumab,Oncology,DOID:3717,3.0,0.13703703703703696,3717,2014.0,Antibody,2023
IV formulation for rheumatic diseases (EMA),0.8280349794238683,0.7407407407407407,4.411764705882353,54,0.8796296296296297,0.8444444444444444,0.7600308641975309,0.8148148148148148,IV formulation for rheumatic diseases (EMA),secukinumab,Immunology,DOID:1575,3.0,0.1195987654320988,1575,2015.0,Antibody,2023
Atopic dermatitis,0.8327568134171908,0.7735849056603774,4.134615384615385,53,0.9537037037037037,0.9477124183006536,0.6032407407407407,0.7735849056603774,Atopic dermatitis,baricitinib,Immunology,DOID:0110098,2.0,0.350462962962963,110098,2021.0,Antibody,2023
Giant cell arteritis,0.8328189300411523,0.7222222222222222,4.038461538461538,54,0.8580246913580247,0.8672839506172839,0.7731481481481481,0.8333333333333334,Giant cell arteritis,upadacitinib,Immunology,DOID:13375,3.0,0.09413580246913578,13375,2019.0,Small mol,2024-2026
CKD in T2D,0.8388374485596708,0.7592592592592593,4.153846153846154,54,0.7893518518518519,0.9722222222222222,0.7549382716049382,0.6296296296296297,CKD in T2D,semaglutide,Metabolic,DOID:784,3.0,0.217283950617284,784,2014.0,Small mol,2023
Gastric/GEJ adenocarcinoma,0.8390946502057613,0.7407407407407407,4.176470588235294,54,0.8333333333333334,0.9166666666666666,0.7672839506172839,0.7592592592592593,Gastric/GEJ adenocarcinoma,durvalumab,Oncology,DOID:3717,3.0,0.1493827160493827,3717,2014.0,Antibody,2023
Unresectable thymic carcinoma (PMDA),0.842798353909465,0.7592592592592593,3.056603773584906,54,0.875,0.9027777777777778,0.7506172839506173,0.3333333333333333,Unresectable thymic carcinoma (PMDA),lenvatinib,Oncology,DOID:3284,3.0,0.15216049382716046,3284,2015.0,Small mol,2023
"Pediatric low-grade glioma (+dabrafenib, BRAF V600E)",0.845125786163522,0.7924528301886793,3.792452830188679,53,0.9027777777777778,1.0,0.6412037037037037,0.7169811320754716,"Pediatric low-grade glioma (+dabrafenib, BRAF V600E)",selumetinib,Oncology,DOID:0060101,1.0,0.3587962962962963,60101,2014.0,Small mol,2023
mHSPC + ADT,0.8511530398322852,0.7547169811320755,3.8823529411764706,53,0.79320987654321,0.9411764705882353,0.8240740740740741,0.6792452830188679,mHSPC + ADT,darolutamide,Oncology,DOID:10283,3.0,0.14796659404502532,10283,2014.0,Small mol,2023
Reduce MACE in CVD + obesity/overweight,0.8529835390946502,0.7962962962962963,4.346938775510204,54,0.8950617283950617,0.9722222222222222,0.6916666666666667,0.7592592592592593,Reduce MACE in CVD + obesity/overweight,semaglutide,Cardiovascular,DOID:1287,3.0,0.28055555555555556,1287,2009.0,Small mol,2023
Chronic thromboembolic pulmonary hypertension,0.8565549676660787,0.7962962962962963,4.0754716981132075,54,0.9236111111111112,1.0,0.6460537918871252,0.7777777777777778,Chronic thromboembolic pulmonary hypertension,edoxaban tosilate,Cardiovascular,DOID:6432,3.0,0.3539462081128748,6432,2013.0,Small mol,2023
Polymyalgia rheumatica,0.8624962563641809,0.7924528301886793,4.153846153846154,53,0.7260802469135803,0.9411764705882353,0.9246031746031745,0.8867924528301887,Polymyalgia rheumatica,sarilumab,Immunology,DOID:853,3.0,0.21509622367465497,853,2017.0,Antibody,2023
HR+/HER2- early breast cancer (adjuvant),0.8652263374485597,0.7592592592592593,4.686274509803922,54,0.9166666666666666,0.8888888888888888,0.7901234567901234,0.8703703703703703,HR+/HER2- early breast cancer (adjuvant),ribociclib,Oncology,DOID:1612,2.0,0.12654320987654322,1612,2020.0,Antibody,2023
Antibody-mediated rejection in organ transplantation,0.8654320987654321,0.7777777777777778,4.30188679245283,54,0.8999999999999999,0.925925925925926,0.7703703703703704,0.8518518518518519,Antibody-mediated rejection in organ transplantation,rituximab,Immunology,MONDO:1010185,,0.15555555555555567,1010185,,,
Gastric/GEJ adenocarcinoma (1L +chemo),0.8801440329218108,0.8333333333333334,4.339622641509434,54,0.8564814814814814,1.0,0.7839506172839505,0.8703703703703703,Gastric/GEJ adenocarcinoma (1L +chemo),durvalumab,Oncology,DOID:3717,3.0,0.21604938271604945,3717,2014.0,Antibody,2023
GVHD + pediatric,0.8894230769230769,0.8461538461538461,4.387755102040816,52,0.9228395061728395,1.0,0.7577160493827161,0.8269230769230769,GVHD + pediatric,ruxolitinib,Immunology,DOID:0081267,3.0,0.24228395061728392,81267,2014.0,Small mol,2024-2026
Biliary tract cancer 1L,0.8941358024691358,0.8148148148148148,3.7777777777777777,54,0.8305555555555555,1.0,0.8518518518518519,0.5,Biliary tract cancer 1L,durvalumab,Oncology,DOID:4607,3.0,0.1694444444444445,4607,2014.0,Antibody,2023
BRAF+ thyroid cancer,0.9113694219826296,0.8584905660377359,4.4423076923076925,106,0.9583333333333334,0.9223856209150326,0.8540013227513228,0.9056603773584906,BRAF+ thyroid cancer,binimetinib / encorafenib,Oncology,DOID:1781,3.0,0.10433201058201058,1781,2018.0,Small mol,2024-2026
Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),0.9115004492362984,0.8867924528301887,4.68,53,0.8258377425044092,1.0,0.9084967320261438,0.9056603773584906,Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),pembrolizumab,Oncology,DOID:4001,3.0,0.17416225749559078,4001,2014.0,Antibody,2024-2026
Juvenile idiopathic arthritis (EMA Feb 2026),0.9135802469135803,0.8703703703703703,4.7254901960784315,54,0.9722222222222222,0.9444444444444444,0.8240740740740741,0.9444444444444444,Juvenile idiopathic arthritis (EMA Feb 2026),baricitinib,Immunology,DOID:676,3.0,0.14814814814814814,676,2017.0,Small mol,2024-2026
Primary immunodeficiency pediatric (EMA),0.9156378600823045,0.8518518518518519,4.283018867924528,54,0.9722222222222222,0.8518518518518519,0.9228395061728395,0.9629629629629629,Primary immunodeficiency pediatric (EMA),immune globulin subcutaneous,Immunology,DOID:0111941,3.0,0.12037037037037035,111941,2014.0,Small mol,2023
Psoriasis in children 6-11 (cream),0.9156378600823045,0.8518518518518519,4.4423076923076925,54,0.8950617283950617,0.9444444444444444,0.9074074074074073,0.7592592592592593,Psoriasis in children 6-11 (cream),roflumilast,Immunology,DOID:8893,3.0,0.04938271604938271,8893,2011.0,Small mol,2023
Follicular lymphoma (+obinutuzumab),0.9156933213536987,0.8867924528301887,3.823529411764706,53,0.9506172839506173,1.0,0.8011463844797179,0.660377358490566,Follicular lymphoma (+obinutuzumab),zanubrutinib,Oncology,DOID:0050873,3.0,0.19885361552028213,50873,2019.0,Small mol,2023
EGPA (expanded),0.9158142269253381,0.8703703703703703,4.490566037735849,54,1.0,0.9444444444444444,0.8029982363315696,0.9444444444444444,EGPA (expanded),benralizumab,Immunology,DOID:3049,3.0,0.19700176366843036,3049,2017.0,Antibody,2024-2026
Hidradenitis suppurativa,0.9202674897119342,0.8703703703703703,4.490566037735849,54,0.9444444444444444,0.8858024691358025,0.9305555555555556,0.9074074074074074,Hidradenitis suppurativa,secukinumab,Immunology,DOID:2280,3.0,0.0586419753086419,2280,2015.0,Antibody,2023
Primary mediastinal large B-cell lymphoma,0.9326866549088771,0.9074074074074074,4.6923076923076925,54,1.0,0.9228395061728395,0.8752204585537918,0.9259259259259259,Primary mediastinal large B-cell lymphoma,pembrolizumab,Oncology,DOID:0080210,3.0,0.12477954144620818,80210,2016.0,Antibody,2023
Oral tablet formulation for weight management,0.939917695473251,0.9259259259259259,4.75,54,1.0,1.0,0.8197530864197531,0.9259259259259259,Oral tablet formulation for weight management,semaglutide,Metabolic,DOID:9970,3.0,0.18024691358024691,9970,2021.0,Peptide,2024-2026
IDH1-mutated relapsed/refractory MDS,0.940251572327044,0.9245283018867925,4.86,53,1.0,1.0,0.8240740740740741,0.9245283018867925,IDH1-mutated relapsed/refractory MDS,ivosidenib,Oncology,DOID:0050908,3.0,0.17592592592592593,50908,2019.0,Antibody,2023
Ulcerative colitis,0.9412808641975309,0.9166666666666666,4.752380952380952,108,0.9753086419753088,0.9722222222222222,0.8763117283950617,0.9259259259259259,Ulcerative colitis,guselkumab / risankizumab,Immunology,DOID:8577,3.0,0.09899691358024709,8577,2014.0,Antibody,2023
KRAS G12C+ mCRC,0.9416152263374485,0.9259259259259259,4.730769230769231,54,1.0,0.9506172839506173,0.8742283950617283,0.9074074074074074,KRAS G12C+ mCRC,sotorasib+panitumumab,Oncology,DOID:0080199,3.0,0.12577160493827166,80199,2020.0,Small mol,2023
Allergic fungal rhinosinusitis (AFRS) ≥6yr,0.9465020576131687,0.9074074074074074,4.5576923076923075,54,1.0,0.8888888888888888,0.9506172839506173,0.9259259259259259,Allergic fungal rhinosinusitis (AFRS) ≥6yr,dupilumab,Immunology,DOID:13565,3.0,0.11111111111111116,13565,2017.0,Antibody,2024-2026
RAS wild-type HER2+ metastatic colorectal cancer,0.9481481481481482,0.9074074074074074,4.444444444444445,54,0.8999999999999999,0.9444444444444444,1.0,0.9814814814814815,RAS wild-type HER2+ metastatic colorectal cancer,tucatinib,Oncology,DOID:0080199,3.0,0.10000000000000009,80199,2020.0,Small mol,2023
