Pair_ID,Drug,Active,NewIndication,TA_simplified,YearSet,Agencies,DrugBank_ID,MONDO_ID,DOID_ID,MeSH_ID,StrictRepurposing,drop_stage,drop_reason
127,Xtandi,enzalutamide,Metastatic hormone-sensitive prostate cancer,Oncology,2024-2026,EMA,DB08899,MONDO:0004956,DOID:10283,D011471,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
125,Lynparza,olaparib,BRCA-mutated mCRPC (+abiraterone),Oncology,2024-2026,EMA,DB09074,MONDO:0008315,DOID:10283,D011471,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
137,Imbruvica,ibrutinib,Chronic GVHD,Oncology,2024-2026,EMA,DB09053,MONDO:0020547,DOID:0081267,D006086,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
136,Sarclisa,isatuximab,Newly diagnosed MM ineligible for ASCT,Oncology,2024-2026,EMA,DB14811,MONDO:0009693,DOID:9538,D009101,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
248,Eylea 8mg,aflibercept 8mg,Retinal vein occlusion (new high-dose formulation),Ophthalmology,2024-2026,PMDA,DB08885,MONDO:0006951,DOID:1727,D012170,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
134,Adcetris,brentuximab vedotin,Stage III Hodgkin lymphoma,Oncology,2024-2026,EMA,DB08870,MONDO:0004952,DOID:8567,D006689,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
173,Ctexli,chenodiol,Cerebrotendinous xanthomatosis,Metabolic,2024-2026,FDA,DB06777,MONDO:0008948,DOID:4810,D019294,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
124,Xalkori,crizotinib,ALK+ or ROS1+ NSCLC (pediatric/new formulation),Oncology,2024-2026,"EMA, PMDA",DB08865,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
130,Rozlytrek,entrectinib,NTRK fusion solid tumors (pediatric),Oncology,2024-2026,EMA,DB11986,MONDO:0004198,DOID:7360,D066066,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
198,Tecentriq,atezolizumab,Adjuvant MIBC with ctDNA MRD post-cystectomy,Oncology,2024-2026,FDA,DB11595,MONDO:0004986,DOID:4007,D001749,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
179,Prevymis,letermovir,CMV prophylaxis in organ transplant,Infectious,2024-2026,PMDA,DB12070,MONDO:0005132,DOID:0080827,D003586,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
247,Effexor SR,venlafaxine,Generalized anxiety disorder (first GAD drug in Japan),CNS,2024-2026,PMDA,DB00285,MONDO:0001942,DOID:14320,D000098647,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
242,Iclusig,ponatinib,"Ph+ ALL frontline (EMA May 2026, 2nd)",Oncology,2024-2026,EMA,DB08901,MONDO:0004967,DOID:9952,D054198,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
236,Crysvita,burosumab,XLH infants <1yr,Metabolic,2024-2026,EMA,DB14012,MONDO:0010619,DOID:0050445,D007015,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
234,Venclyxto,venetoclax,AML +Inaqovi (EMA Apr 2026),Oncology,2024-2026,EMA,DB11581,MONDO:0018874,DOID:9119,D015470,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
223,Jorveza,budesonide (orodispersible),Eosinophilic esophagitis pediatric 2-17yr,GI,2024-2026,EMA,DB01222,MONDO:0005361,DOID:13922,D057765,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
221,Efmody,hydrocortisone (modified-release),Adrenal insufficiency adolescents ≥12yr,Endocrine,2024-2026,EMA,DB00741,MONDO:0000004,DOID:10493,D000309,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
217,Iclusig,ponatinib,Newly diagnosed Ph+ ALL +chemotherapy,Oncology,2024-2026,EMA,DB08901,MONDO:0004967,DOID:9952,D054198,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
212,Juxtapid,lomitapide,HoFH pediatric ≥2yr,Metabolic,2024-2026,FDA+EMA,DB08827,MONDO:0018328,DOID:0090105,D000090542,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
174,Nityr/Harliku,nitisinone,Alkaptonuria,Metabolic,2024-2026,FDA,DB00348,MONDO:0008753,DOID:9270,D000474,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
209,Cablivi,caplacizumab-yhdp,Acquired TTP pediatric ≥12yr,Hematology,2024-2026,FDA,DB06081,MONDO:0018896,DOID:10772,D011697,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
203,Caldolor,ibuprofen (IV),Fever and pain in infants,Other,2024-2026,FDA,DB01050,MONDO:0001195,DOID:11104,D005334,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
202,Wakix,pitolisant,Narcolepsy (expanded),CNS,2024-2026,FDA,DB11642,MONDO:0021107,DOID:8986,D009290,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
199,Calquence,acalabrutinib,CLL/SLL 1L +venetoclax (fixed-duration),Oncology,2024-2026,FDA,DB11703,MONDO:0004948,DOID:1040,D015451,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
123,Tagrisso,osimertinib,Stage III EGFR+ NSCLC post-chemoradiation,Oncology,2024-2026,"EMA, PMDA, MHRA/Orbis",DB09330,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
194,Opdivo,nivolumab,Previously untreated Stage III/IV cHL +AVD,Oncology,2024-2026,FDA+EMA,DB09035,MONDO:0004604,DOID:8543,D006689,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
187,Susvimo,ranibizumab,DME/diabetic retinopathy,Ophthalmology,2024-2026,FDA,DB01270,MONDO:0004728,DOID:9191,D003930,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
185,Xromi,hydroxycarbamide,Vaso-occlusive complications of sickle-cell disease in children,Hematology,2024-2026,EMA,DB01005,MONDO:0011382,DOID:0081445,D000755,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
181,Ofev,nintedanib,Progressive fibrosing ILDs in children/adolescents,Respiratory,2024-2026,EMA,DB09079,MONDO:0800504,DOID:0050156,D054990,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
204,Ocrevus,ocrelizumab,Pediatric relapsing-remitting MS ≥10yr,Immunology,2024-2026,FDA,DB11988,MONDO:0005301,DOID:2377,D009103,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
122,Tagrisso,osimertinib,Adjuvant EGFR+ NSCLC,Oncology,2024-2026,"EMA, MHRA/Orbis",DB09330,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
3,Keytruda,pembrolizumab,Adjuvant NSCLC (stage IB-IIIA),Oncology,2023,"FDA, EMA",DB09037,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
117,Calquence,acalabrutinib,Untreated MCL,Oncology,2024-2026,"FDA, EMA",DB11703,MONDO:0018876,DOID:0050746,D020522,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
67,Takhzyro,lanadelumab,HAE prevention in children 2+,Immunology,2023,EMA,DB14597,MONDO:0019623,DOID:14735,D054179,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
66,Soliris,eculizumab,Pediatric generalized myasthenia gravis,Immunology,2023,EMA,DB01257,MONDO:0018324,DOID:437,D009157,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
65,Rubraca,rucaparib,"Ovarian cancer (maintenance, 2L+)",Oncology,2023,EMA,DB12332,MONDO:0008170,DOID:2394,D010051,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
121,Libtayo,cemiplimab,Adjuvant cutaneous SCC,Oncology,2024-2026,"FDA, EMA",DB14707,MONDO:0005096,DOID:1749,D002294,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
58,Opdivo,nivolumab,Urothelial carcinoma (1L metastatic),Oncology,2023,EMA,DB09035,MONDO:0040679,DOID:4006,D001749,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
57,Opdivo,nivolumab,Adjuvant melanoma (stage IIB/IIC),Oncology,2023,EMA,DB09035,MONDO:0005105,DOID:1909,D008545,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
56,Keytruda,pembrolizumab,1L HER2+ gastric/GEJ adenocarcinoma (+trastuzumab+chemo),Oncology,2023,EMA,DB09037,MONDO:0005036,DOID:3717,D013274,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
50,Linzess,linaclotide,Functional constipation in pediatric patients 6-17,GI,2023,FDA,DB08890,MONDO:0005052,DOID:9778,D043183,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
48,Injectafer,ferric carboxymaltose,Iron deficiency in heart failure,Cardiovascular,2023,FDA,DB08917,MONDO:0001356,DOID:11758,D018798,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
45,Cresemba,isavuconazonium sulfate,Pediatric invasive aspergillosis/mucormycosis,Infectious,2023,FDA,DB06636,MONDO:0000240,DOID:0050073,,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
41,Keytruda,pembrolizumab,1L HER2- gastric/GEJ adenocarcinoma (+chemo),Oncology,2023,FDA,DB09037,MONDO:0005036,DOID:3717,D013274,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
40,Xtandi,enzalutamide,Non-metastatic castration-sensitive prostate cancer with BCR,Oncology,2023,FDA,DB08899,MONDO:0008315,DOID:10283,D011471,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
36,Rozlytrek,entrectinib,Pediatric NTRK fusion solid tumors,Oncology,2023,FDA,DB11986,MONDO:0004198,DOID:7360,D066066,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
35,Keytruda,pembrolizumab,Neoadj+adj resectable NSCLC,Oncology,2023,FDA,DB09037,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
34,Opdivo,nivolumab,Adjuvant stage IIB/IIC melanoma,Oncology,2023,FDA,DB09035,MONDO:0005105,DOID:1909,D008545,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
31,Entyvio,vedolizumab,Subcutaneous maintenance UC,Immunology,2023,FDA,DB09033,MONDO:0005101,DOID:8577,D003093,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
30,Bosulif,bosutinib,Pediatric Ph+ CML-CP,Oncology,2023,FDA,DB06616,MONDO:0011996,DOID:0081088,D015464,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
23,Jardiance,empagliflozin,Type 2 diabetes in children 10+,Metabolic,2023,FDA,DB09038,MONDO:0005148,DOID:9352,D003924,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
22,Blincyto,blinatumomab,MRD+ B-cell precursor ALL (full approval),Oncology,2023,FDA,DB09052,MONDO:0004967,DOID:9952,D054198,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
20,Prevymis,letermovir,CMV disease prevention in kidney transplant recipients,Infectious,2023,FDA,DB12070,MONDO:0005132,DOID:0080827,D003586,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
19,Lynparza,olaparib,BRCA-mutated mCRPC (+abiraterone),Oncology,2023,FDA,DB09074,MONDO:0008315,DOID:10283,D011471,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
68,Jardiance,empagliflozin,T2D in children 10+ (EMA),Metabolic,2023,EMA,DB09038,MONDO:0005148,DOID:9352,D003924,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
74,Adempas,riociguat,Chronic thromboembolic pulmonary hypertension,Cardiovascular,2023,EMA,DB08931,MONDO:0013024,DOID:6432,D065627,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
64,Prevymis,letermovir,CMV prophylaxis in kidney transplant,Infectious,2023,EMA,DB12070,MONDO:0005132,DOID:0080827,D003586,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
135,Bosulif,bosutinib,Pediatric Ph+ CML-CP,Oncology,2024-2026,EMA,DB06616,MONDO:0011996,DOID:0081088,D015464,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
100,Imfinzi,durvalumab,Resectable NSCLC,Oncology,2024-2026,FDA,DB11714,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
101,Imfinzi,durvalumab,Muscle-invasive bladder cancer,Oncology,2024-2026,FDA,DB11714,MONDO:0004986,DOID:4007,D001749,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
97,Alecensa,alectinib,Adjuvant ALK+ NSCLC,Oncology,2024-2026,"FDA, EMA, MHRA/Orbis",DB11363,MONDO:0005233,DOID:3908,D002289,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
106,Keytruda,pembrolizumab,1L endometrial cancer (dMMR/MSI-H),Oncology,2024-2026,"EMA, MHRA/Orbis",DB09037,MONDO:0011962,DOID:1380,D016889,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
89,Nordimet,methotrexate,Moderate psoriasis (EMA),Immunology,2023,EMA,DB00563,MONDO:0005083,DOID:8893,D011565,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
107,Keytruda,pembrolizumab,Cervical cancer,Oncology,2024-2026,"EMA, PMDA",DB09037,MONDO:0002974,DOID:4362,D002583,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
88,Vanflyta,quizartinib,FLT3-ITD AML (EMA),Oncology,2023,EMA,DB12874,MONDO:0018874,DOID:9119,D015470,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
108,Keytruda,pembrolizumab,Gastric/GEJ cancer,Oncology,2024-2026,PMDA,DB09037,MONDO:0001056,DOID:10534,D013274,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
110,Opdivo,nivolumab,1L metastatic urothelial carcinoma,Oncology,2024-2026,"EMA, MHRA/Orbis",DB09035,MONDO:0040679,DOID:4006,D001749,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
86,Adcetris,brentuximab vedotin,Stage III Hodgkin lymphoma (EMA),Oncology,2023,EMA,DB08870,MONDO:0004952,DOID:8567,D006689,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
83,Zinplava,bezlotoxumab,Pediatric C. difficile infection (EMA),Infectious,2023,EMA,DB13140,MONDO:1014887,DOID:0060185,D016360,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
112,Darzalex,daratumumab,Newly diagnosed MM ineligible for ASCT,Oncology,2024-2026,"FDA, EMA",DB09331,MONDO:0009693,DOID:9538,D009101,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
77,Revestive,teduglutide,Short bowel syndrome (pediatric),GI,2023,EMA,DB08900,MONDO:0015183,DOID:10605,D012778,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
80,Yervoy,ipilimumab,Adjuvant melanoma (+nivolumab),Oncology,2023,EMA,DB06186,MONDO:0005105,DOID:1909,D008545,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
235,Inaqovi,cedazuridine+decitabine,"AML +venetoclax (newly diagnosed, ineligible for standard chemo)",Oncology,2024-2026,EMA,"DB15694,DB01262",MONDO:0018874,DOID:9119,D015470,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
43,Padcev+Keytruda,enfortumab vedotin+pembrolizumab,Advanced bladder cancer (1L+ later lines),Oncology,2023,FDA,"DB13007,DB09037",MONDO:0004986,DOID:4007,D001749,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
12,Keytruda+Padcev,pembrolizumab+enfortumab vedotin,1L locally advanced/metastatic urothelial cancer,Oncology,2023,FDA,"DB09037,DB13007",MONDO:0040679,DOID:4006,D001749,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
13,Qulipta,atogepant,Chronic migraine,CNS,2023,FDA,DB16098,MONDO:0043537,DOID:6364,D003027,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
14,Trikafta,elexacaftor/tezacaftor/ivacaftor+ivacaftor,CF in children ages 2-5,Respiratory,2023,FDA,"DB15444,DB11712,DB08820,DB08820",MONDO:0009061,DOID:1485,D003550,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
104,Rybrevant,amivantamab,1L EGFR-mutant NSCLC (+lazertinib),Oncology,2024-2026,"FDA, EMA",DB16695,MONDO:0005233,DOID:3908,D002289,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
113,Padcev+Keytruda,enfortumab vedotin+pembrolizumab,Muscle-invasive bladder cancer (non-cisplatin),Oncology,2024-2026,FDA,"DB13007,DB09037",MONDO:0004986,DOID:4007,D001749,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
21,Talzenna+Xtandi,talazoparib+enzalutamide,HRR gene-mutated mCRPC,Oncology,2023,FDA,"DB11760,DB08899",MONDO:0008315,DOID:10283,D011471,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
237,Comirnaty,tozinameran,COVID-19 updated strain (EMA Apr 2026),Infectious,2024-2026,EMA,DB15696,MONDO:0100320,DOID:0080599,D000086382,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
111,Opdivo+Yervoy,nivolumab+ipilimumab,MSI-H/dMMR colorectal cancer 1L,Oncology,2024-2026,"FDA, EMA","DB09035,DB06186",MONDO:0024331,DOID:0080199,D015179,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
222,Dupixent,dupilumab,Chronic spontaneous urticaria pediatric 2-11yr,Immunology,2024-2026,EMA,DB12159,MONDO:0850230,DOID:0080747,D000080223,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
27,Gavreto,pralsetinib,NSCLC with RET gene fusions (regular approval),Oncology,2023,FDA,DB15822,MONDO:0005233,DOID:3908,D002289,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
115,Pluvicto,lutetium-177 vipivotide,Post-ARPI mCRPC,Oncology,2024-2026,FDA,DB16778,MONDO:0008315,DOID:10283,D011471,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
139,Cibinqo,abrocitinib,Atopic dermatitis (adolescents),Oncology,2024-2026,EMA,DB14973,MONDO:0011596,DOID:0110098,C565293,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
76,Orkambi,lumacaftor/ivacaftor,Cystic fibrosis (pediatric expansion),Respiratory,2023,EMA,"DB09280,DB08820",MONDO:0009061,DOID:1485,D003550,False,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
46,Lodoco,colchicine,Cardiovascular risk reduction (first anti-inflammatory CV drug),Cardiovascular,2023,FDA,DB08117,MONDO:0004995,DOID:1287,D002318,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
166,Kerendia,finerenone,HFpEF,Cardiovascular,2024-2026,FDA,DB16165,MONDO:0006727,DOID:9775,D054144,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
72,Bylvay,odevixibat,PFIC cholestatic pruritus,GI/Metabolic,2023,EMA,DB16261,MONDO:0015762,DOID:0070221,D002780,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
175,Empaveli,pegcetacoplan,C3G/IC-MPGN,Nephrology,2024-2026,FDA,DB16694,MONDO:0018013,,D005921,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
177,Yeztugo,lenacapavir,HIV PrEP,Infectious,2024-2026,FDA,DB15673,MONDO:0004951,DOID:526,D015658,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
165,Amvuttra,vutrisiran,ATTR cardiomyopathy,Cardiovascular,2024-2026,"FDA, EMA",DB16699,MONDO:0007100,DOID:0050638,C567782,True,3_no_kg_coverage,No KG coverage: drug or disease absent from all 3 evaluation KGs
