Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,key,in_final,status
52,Adbry,tralokinumab,,,2021,Atopic dermatitis pediatric 12-17,MONDO:0011596,C565293,DOID:0110098,FDA,Immunology/Dermatology,Immunology,False,True,2023,missing_DrugBank|missing_PubChem,nan|DOID:0110098,False,dropped
53,Cibinqo,abrocitinib,DB14973,78323835,2021,Adolescent atopic dermatitis,MONDO:0011596,C565293,DOID:0110098,FDA,Immunology/Dermatology,Immunology,False,True,2023,complete,DB14973|DOID:0110098,False,dropped
54,Leqvio,inclisiran,DB14901,,2021,High LDL-C with increased CV risk (expanded),MONDO:0005439,C566331,DOID:13810,FDA,Cardiovascular,Cardiovascular,False,True,2023,missing_PubChem,DB14901|DOID:13810,True,kept
55,Jardiance,empagliflozin,DB09038,11949646,2014,Chronic kidney disease,MONDO:0005300,D007676,DOID:784,FDA,Cardiovascular/Nephrology,Cardiovascular,True,True,2023,complete,DB09038|DOID:784,True,kept
56,Keytruda,pembrolizumab,DB09037,,2014,1L HER2+ gastric/GEJ adenocarcinoma (+trastuzumab+chemo),MONDO:0005036,D013274,DOID:3717,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:3717,False,dropped
57,Opdivo,nivolumab,DB09035,,2015,Adjuvant melanoma (stage IIB/IIC),MONDO:0005105,D008545,DOID:1909,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09035|DOID:1909,False,dropped
58,Opdivo,nivolumab,DB09035,,2015,Urothelial carcinoma (1L metastatic),MONDO:0040679,D001749,DOID:4006,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09035|DOID:4006,False,dropped
59,Olumiant,baricitinib,DB11817,44205240,2017,Atopic dermatitis,MONDO:0011596,C565293,DOID:0110098,EMA,Immunology/Dermatology,Immunology,True,True,2023,complete,DB11817|DOID:0110098,True,kept
60,Brukinsa,zanubrutinib,DB15035,135565884,2019,Follicular lymphoma (+obinutuzumab),MONDO:0018906,D008224,DOID:0050873,EMA,Oncology,Oncology,True,True,2023,complete,DB15035|DOID:0050873,True,kept
61,Imfinzi,durvalumab,DB11714,,2017,Gastric/GEJ adenocarcinoma (1L +chemo),MONDO:0005036,D013274,DOID:3717,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB11714|DOID:3717,True,kept
62,Jemperli,dostarlimab,DB15627,,2021,dMMR/MSI-H primary advanced endometrial cancer,MONDO:0011962,D016889,DOID:1380,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB15627|DOID:1380,True,kept
63,Praluent,alirocumab,DB09302,,2015,Heterozygous familial hypercholesterolemia,MONDO:0005439,D000090542,DOID:13810,EMA,Cardiovascular,Cardiovascular,False,True,2023,missing_PubChem,DB09302|DOID:13810,True,kept
64,Prevymis,letermovir,DB12070,45138674,2017,CMV prophylaxis in kidney transplant,MONDO:0005132,D003586,DOID:0080827,EMA,Infectious,Infectious,True,True,2023,complete,DB12070|DOID:0080827,False,dropped
65,Rubraca,rucaparib,DB12332,9931954,2018,"Ovarian cancer (maintenance, 2L+)",MONDO:0008170,D010051,DOID:2394,EMA,Oncology,Oncology,True,True,2023,complete,DB12332|DOID:2394,False,dropped
66,Soliris,eculizumab,DB01257,,2007,Pediatric generalized myasthenia gravis,MONDO:0018324,D009157,DOID:437,EMA,Immunology/Neurology,Immunology,True,True,2023,missing_PubChem,DB01257|DOID:437,False,dropped
67,Takhzyro,lanadelumab,DB14597,,2018,HAE prevention in children 2+,MONDO:0019623,D054179,DOID:14735,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,DB14597|DOID:14735,False,dropped
68,Jardiance,empagliflozin,DB09038,11949646,2014,T2D in children 10+ (EMA),MONDO:0005148,D003924,DOID:9352,EMA,Metabolic,Metabolic,False,True,2023,complete,DB09038|DOID:9352,False,dropped
69,Mounjaro,tirzepatide,DB15171,166567236,2022,Obstructive sleep apnea with obesity,MONDO:0007147,D020181,DOID:0050848,EMA,Metabolic/Respiratory,Metabolic,True,True,2023,complete,DB15171|DOID:0050848,True,kept
70,Talzenna,talazoparib,DB11760,135565082,2018,HR+/HER2- metastatic breast cancer,MONDO:0007254,D000072656,DOID:1612,EMA,Oncology,Oncology,True,True,2023,complete,DB11760|DOID:1612,True,kept
71,Evrysdi,risdiplam,DB15305,118513932,2020,Spinal muscular atrophy (pediatric expansion),MONDO:0001516,D009134,DOID:12377,EMA,CNS,CNS,False,True,2023,complete,DB15305|DOID:12377,True,kept
72,Bylvay,odevixibat,DB16261,10153627,2021,PFIC cholestatic pruritus,MONDO:0015762,D002780,DOID:0070221,EMA,GI/Metabolic,GI/Metabolic,True,True,2023,complete,DB16261|DOID:0070221,False,dropped
73,Ervebo,Ebola Zaire vaccine,,,2020,Ebola Zaire (pediatric 1+),MONDO:0005737,D019142,DOID:4325,EMA,Infectious,Infectious,False,True,2023,missing_DrugBank|missing_PubChem,nan|DOID:4325,False,dropped
74,Adempas,riociguat,DB08931,11304743,2013,Chronic thromboembolic pulmonary hypertension,MONDO:0013024,D065627,DOID:6432,EMA,Cardiovascular,Cardiovascular,True,True,2023,complete,DB08931|DOID:6432,False,dropped
75,Cosentyx,secukinumab,DB09029,,2015,IV formulation for rheumatic diseases (EMA),MONDO:0005554,D012216,DOID:1575,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,DB09029|DOID:1575,True,kept
76,Orkambi,lumacaftor/ivacaftor,"DB09280,DB08820","16678941,16220172",2015,Cystic fibrosis (pediatric expansion),MONDO:0009061,D003550,DOID:1485,EMA,Respiratory,Respiratory,False,True,2023,complete,"DB09280,DB08820|DOID:1485",False,dropped
77,Revestive,teduglutide,DB08900,16139605,2012,Short bowel syndrome (pediatric),MONDO:0015183,D012778,DOID:10605,EMA,GI,GI,False,True,2023,complete,DB08900|DOID:10605,False,dropped
78,Spikevax,mRNA-1273,DB15654,,2022,COVID-19 updated strain,MONDO:0100320,D000086382,DOID:0080599,EMA,Infectious,Infectious,False,True,2023,missing_PubChem,DB15654|DOID:0080599,True,kept
79,Vemlidy,tenofovir alafenamide,DB09299,9574768,2016,Chronic hepatitis B (pediatric),MONDO:0005344,D006509,DOID:2043,EMA,Infectious,Infectious,False,True,2023,complete,DB09299|DOID:2043,True,kept
80,Yervoy,ipilimumab,DB06186,,2011,Adjuvant melanoma (+nivolumab),MONDO:0005105,D008545,DOID:1909,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB06186|DOID:1909,False,dropped
81,HyQvia,immune globulin subcutaneous,DB00028,,2014,Primary immunodeficiency pediatric (EMA),MONDO:0012559,C563663,DOID:0111941,EMA,Immunology,Immunology,False,True,2023,missing_PubChem,DB00028|DOID:0111941,True,kept
82,Metalyse,tenecteplase,DB00031,,2001,Acute ischemic stroke,MONDO:1060198,D000083242,DOID:0051062,EMA,Cardiovascular,Cardiovascular,True,True,2023,missing_PubChem,DB00031|DOID:0051062,False,dropped
83,Zinplava,bezlotoxumab,DB13140,,2016,Pediatric C. difficile infection (EMA),MONDO:1014887,D016360,DOID:0060185,EMA,Infectious,Infectious,True,True,2023,missing_PubChem,DB13140|DOID:0060185,False,dropped
84,Spexotras,selumetinib,DB11689,10127622,2020,"Pediatric low-grade glioma (+dabrafenib, BRAF V600E)",MONDO:0021637,,DOID:0060101,EMA,Oncology,Oncology,True,True,2023,missing_MeSH,DB11689|DOID:0060101,True,kept
85,Finlee,dabrafenib,DB08912,44462760,2014,Pediatric glioma (EMA),MONDO:0021042,D005910,DOID:3774,EMA,Oncology,Oncology,True,True,2023,complete,DB08912|DOID:3774,True,kept
86,Adcetris,brentuximab vedotin,DB08870,,2012,Stage III Hodgkin lymphoma (EMA),MONDO:0004952,D006689,DOID:8567,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB08870|DOID:8567,False,dropped
87,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HER2-mutant NSCLC (EMA),MONDO:0005233,D002289,DOID:3908,EMA,Oncology,Oncology,True,True,2023,missing_PubChem,DB14962|DOID:3908,True,kept
88,Vanflyta,quizartinib,DB12874,24889392,2019,FLT3-ITD AML (EMA),MONDO:0018874,D015470,DOID:9119,EMA,Oncology,Oncology,True,True,2023,complete,DB12874|DOID:9119,False,dropped
89,Nordimet,methotrexate,DB00563,126941,1988,Moderate psoriasis (EMA),MONDO:0005083,D011565,DOID:8893,EMA,Immunology/Dermatology,Immunology,True,True,2023,complete,DB00563|DOID:8893,False,dropped
90,Ayvakyt,avapritinib,DB15233,118023034,2020,Indolent systemic mastocytosis (EMA),MONDO:0016586,D034721,DOID:349,EMA,Hematology,Hematology,True,True,2023,complete,DB15233|DOID:349,True,kept
91,Evkeeza,evinacumab,DB15354,,2021,HoFH pediatric (EMA),MONDO:0018328,D000090542,DOID:0090105,EMA,Metabolic,Metabolic,True,True,2023,missing_PubChem,DB15354|DOID:0090105,True,kept
92,Keytruda,pembrolizumab,DB09037,,2016,Primary mediastinal large B-cell lymphoma,MONDO:0020323,D016403,DOID:0080210,PMDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:0080210,True,kept
93,Enhertu,trastuzumab deruxtecan,DB14962,,2020,HER2-mutant NSCLC (PMDA),MONDO:0005233,D002289,DOID:3908,PMDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB14962|DOID:3908,True,kept
94,Rituxan,rituximab,DB00073,,2001,Antibody-mediated rejection in organ transplantation,MONDO:1010185,D006084,,PMDA,Immunology/Transplant,Immunology,True,True,2023,missing_PubChem|missing_DOID,DB00073|nan,False,dropped
95,Tremfya,guselkumab,DB11834,,2019,Palmoplantar pustulosis (PMDA),MONDO:0015597,,DOID:4398,PMDA,Immunology/Dermatology,Immunology,True,True,2023,missing_PubChem|missing_MeSH,DB11834|DOID:4398,True,kept
96,Lenvatinib,lenvatinib,DB09078,9823820,2015,Unresectable thymic carcinoma (PMDA),MONDO:0006451,D013953,DOID:3284,PMDA,Oncology,Oncology,True,True,2023,complete,DB09078|DOID:3284,True,kept
97,Alecensa,alectinib,DB11363,49806720,2015,Adjuvant ALK+ NSCLC,MONDO:0005233,D002289,DOID:3908,"FDA, EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,complete,DB11363|DOID:3908,False,dropped
98,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HER2+ solid tumors (tumor-agnostic),MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB14962|DOID:7360,True,kept
99,Enhertu,trastuzumab deruxtecan,DB14962,,2019,HR+/HER2-low breast cancer,MONDO:0007254,D000072656,DOID:1612,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB14962|DOID:1612,True,kept
100,Imfinzi,durvalumab,DB11714,,2017,Resectable NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11714|DOID:3908,False,dropped
101,Imfinzi,durvalumab,DB11714,,2017,Muscle-invasive bladder cancer,MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11714|DOID:4007,False,dropped
102,Imfinzi,durvalumab,DB11714,,2017,Gastric/GEJ adenocarcinoma,MONDO:0005036,D013274,DOID:3717,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11714|DOID:3717,True,kept
103,Imfinzi,durvalumab,DB11714,,2017,Biliary tract cancer 1L,MONDO:0003060,D001661,DOID:4607,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB11714|DOID:4607,True,kept
104,Rybrevant,amivantamab,DB16695,,2021,1L EGFR-mutant NSCLC (+lazertinib),MONDO:0005233,D002289,DOID:3908,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB16695|DOID:3908,False,dropped
105,Keytruda,pembrolizumab,DB09037,,2014,Neoadj+adj HNSCC,MONDO:0010150,C535575,DOID:5520,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:5520,True,kept
106,Keytruda,pembrolizumab,DB09037,,2014,1L endometrial cancer (dMMR/MSI-H),MONDO:0011962,D016889,DOID:1380,"EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:1380,False,dropped
107,Keytruda,pembrolizumab,DB09037,,2014,Cervical cancer,MONDO:0002974,D002583,DOID:4362,"EMA, PMDA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:4362,False,dropped
108,Keytruda,pembrolizumab,DB09037,,2014,Gastric/GEJ cancer,MONDO:0001056,D013274,DOID:10534,PMDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:10534,False,dropped
109,Keytruda,pembrolizumab,DB09037,,2014,Biliary tract cancer,MONDO:0003060,D001661,DOID:4607,PMDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09037|DOID:4607,True,kept
110,Opdivo,nivolumab,DB09035,,2015,1L metastatic urothelial carcinoma,MONDO:0040679,D001749,DOID:4006,"EMA, MHRA/Orbis",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09035|DOID:4006,False,dropped
111,Opdivo+Yervoy,nivolumab+ipilimumab,"DB09035,DB06186",",",2015,MSI-H/dMMR colorectal cancer 1L,MONDO:0024331,D015179,DOID:0080199,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,"DB09035,DB06186|DOID:0080199",False,dropped
112,Darzalex,daratumumab,DB09331,,2016,Newly diagnosed MM ineligible for ASCT,MONDO:0009693,D009101,DOID:9538,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB09331|DOID:9538,False,dropped
113,Padcev+Keytruda,enfortumab vedotin+pembrolizumab,"DB13007,DB09037",",",2019,Muscle-invasive bladder cancer (non-cisplatin),MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,"DB13007,DB09037|DOID:4007",False,dropped
114,Padcev,enfortumab vedotin,DB13007,,2020,Urothelial carcinoma (expanded population),MONDO:0040679,D001749,DOID:4006,EMA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB13007|DOID:4006,True,kept
115,Pluvicto,lutetium-177 vipivotide,DB16778,,2022,Post-ARPI mCRPC,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB16778|DOID:10283,False,dropped
116,Cabometyx,cabozantinib,DB08875,25102847,2016,Pancreatic NET,MONDO:0019954,D018358,DOID:0112306,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,complete,DB08875|DOID:0112306,True,kept
117,Calquence,acalabrutinib,DB11703,71226662,2017,Untreated MCL,MONDO:0018876,D020522,DOID:0050746,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,complete,DB11703|DOID:0050746,False,dropped
118,Lumakras,sotorasib+panitumumab,"DB15569,DB01269","137278711,",2021,KRAS G12C+ mCRC,MONDO:0024331,D015179,DOID:0080199,FDA,Oncology,Oncology,True,True,2024-2026,partial_PubChem,"DB15569,DB01269|DOID:0080199",False,dropped
119,Welireg,belzutifan,DB15463,117947097,2021,Pheochromocytoma/paraganglioma,MONDO:0008233,D010673,DOID:0050771,"FDA, PMDA",Oncology,Oncology,True,True,2024-2026,complete,DB15463|DOID:0050771,True,kept
120,Monjuvi,tafasitamab,DB15044,,2020,Follicular lymphoma,MONDO:0018906,D008224,DOID:0050873,FDA,Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB15044|DOID:0050873,True,kept
121,Libtayo,cemiplimab,DB14707,,2018,Adjuvant cutaneous SCC,MONDO:0005096,D002294,DOID:1749,"FDA, EMA",Oncology,Oncology,True,True,2024-2026,missing_PubChem,DB14707|DOID:1749,False,dropped
