disease,biokg,drkg,no_kg,primekg,cov_primekg,cov_drkg,cov_biokg,lift_primekg,lift_drkg,lift_biokg
Delay T1D onset in children ≥1yr,0.35396825396825393,0.18673469387755098,0.32215608465608464,0.1976001511715797,1,1,1,-0.12455593348450494,-0.13542139077853366,0.03181216931216929
Diabetic retinopathy/DME (EMA Mar+May 2026),0.19102418745275887,0.19395313681027965,0.20816326530612242,0.7911942554799697,1,0,0,0.5830309901738473,-0.014210128495842772,-0.01713907785336355
EGPA,0.5875283446712019,0.6506897203325774,0.4518424036281179,0.644973544973545,1,1,1,0.19313114134542708,0.19884731670445954,0.13568594104308396
EGPA (expanded),0.7318027210884354,0.7011526832955405,0.24384920634920632,0.7365079365079366,1,1,1,0.49265873015873024,0.45730347694633416,0.48795351473922904
First-line anemia in lower-risk MDS,0.2651738473167044,0.20656179138321992,0.24587112622826907,0.20930177626606197,1,1,1,-0.03656934996220709,-0.03930933484504914,0.019302721088435337
Follicular lymphoma,0.20643424036281177,0.19161942554799696,0.2721938775510204,0.823015873015873,1,1,1,0.5508219954648526,-0.08057445200302346,-0.06575963718820865
Follicular lymphoma (+obinutuzumab),0.7172902494331066,0.6129913076341648,0.28417422524565383,0.5851946334089191,1,1,1,0.30102040816326525,0.32881708238851093,0.43311602418745276
GVHD + pediatric,0.8324357520786092,0.5923469387755101,0.29935752078609223,0.6765117157974301,1,1,1,0.37715419501133784,0.2929894179894179,0.533078231292517
Gastric/GEJ adenocarcinoma,0.6082010582010582,0.5586167800453514,0.23651738473167044,0.686130007558579,1,1,1,0.44961262282690856,0.322099395313681,0.37168367346938774
Gastric/GEJ adenocarcinoma (1L +chemo),0.6509826152683296,0.5507558578987151,0.23870937263794406,0.6264172335600907,1,1,1,0.38770786092214665,0.312046485260771,0.4122732426303855
Generalized myasthenia gravis,0.4184618291761149,0.21163076341647769,0.28928571428571426,0.6115551776266062,1,1,1,0.3222694633408919,-0.07765495086923657,0.12917611489040065
Giant cell arteritis,0.5601757369614513,0.7185846560846562,0.22191043083900225,0.6831254724111867,1,1,1,0.46121504157218446,0.4966742252456539,0.33826530612244904
HER2+ early-stage BC (neoadjuvant + adjuvant),0.4804799697656841,0.4156557067271353,0.27229780801209374,0.3425642479213908,1,1,0,0.07026643990929704,0.14335789871504157,0.20818216175359033
HER2+ solid tumors (tumor-agnostic),0.46255668934240357,0.305640589569161,0.2626039304610733,0.3886432350718065,1,1,0,0.1260393046107332,0.04303665910808774,0.1999527588813303
HER2-mutant NSCLC (EMA),0.450453514739229,0.3625850340136054,0.3028250188964475,0.4639739229024943,1,1,1,0.1611489040060468,0.05976001511715795,0.14762849584278154
HER2-mutant NSCLC (PMDA),0.6572089947089947,0.3715702947845805,0.27847694633408915,0.3283919123204837,1,1,1,0.049914965986394555,0.09309334845049133,0.3787320483749056
HR+/HER2- breast cancer,0.39651360544217684,0.18903061224489795,0.3276643990929705,0.36874527588813305,1,1,0,0.041080876795162535,-0.13863378684807257,0.06884920634920633
HR+/HER2- early breast cancer (adjuvant),0.6169595616024187,0.7509920634920635,0.242375283446712,0.6264833711262282,1,1,0,0.3841080876795162,0.5086167800453515,0.3745842781557067
HR+/HER2- metastatic breast cancer,0.5660808767951625,0.45093065003779287,0.25226284958427814,0.6333758503401361,1,1,0,0.38111300075585797,0.19866780045351473,0.31381802721088436
HR+/HER2- node-positive high-risk early breast cancer,0.6550831443688586,0.738879440665155,0.3021636432350718,0.5234410430839003,1,1,0,0.2212773998488285,0.4367157974300832,0.35291950113378684
HR+/HER2-low breast cancer,0.4571050642479214,0.31093159486016625,0.27249622071050644,0.2961451247165533,1,1,0,0.023648904006046856,0.03843537414965981,0.18460884353741497
Heart failure (broadened),0.2245559334845049,0.19714663643235072,0.31432350718065,0.25836167800453513,1,1,1,-0.05596182917611486,-0.11717687074829927,-0.0897675736961451
Heterozygous familial hypercholesterolemia,0.7987055933484504,0.7434145880574452,0.24022108843537412,0.8248960695389267,1,0,0,0.5846749811035525,0.503193499622071,0.5584845049130762
Hidradenitis suppurativa,0.7304421768707483,0.7347883597883598,0.23978647014361296,0.7971844293272865,1,1,1,0.5573979591836735,0.4950018896447468,0.4906557067271353
High LDL-C with increased CV risk (expanded),0.15110544217687072,0.1866024187452759,0.2607804232804233,0.8476473922902494,1,0,0,0.5868669690098262,-0.07417800453514739,-0.10967498110355256
HoFH in children,0.22715419501133785,0.23852985638699922,0.21969954648526074,0.23735827664399092,1,0,0,0.01765873015873018,0.01883030990173848,0.007454648526077107
HoFH pediatric (EMA),0.2314436885865457,0.28007369614512473,0.24814814814814812,0.20883408919123203,1,0,0,-0.03931405895691609,0.03192554799697661,-0.01670445956160241
IDH1-mutated relapsed/refractory MDS,0.7105064247921391,0.7215608465608466,0.2759731670445956,0.7850434618291761,1,1,1,0.5090702947845804,0.445587679516251,0.4345332577475435
ILD-associated pulmonary hypertension,0.355026455026455,0.489172335600907,0.3584089191232048,0.6614984882842025,1,1,1,0.3030895691609977,0.13076341647770218,-0.0033824640967498043
IV formulation for rheumatic diseases (EMA),0.7655328798185941,0.5334278155706728,0.22447089947089946,0.7519179894179894,1,1,1,0.5274470899470899,0.30895691609977327,0.5410619803476946
IgE-mediated food allergy,0.792847694633409,0.8094198790627362,0.3998110355253212,0.8473544973544973,0,1,1,0.4475434618291761,0.40960884353741495,0.39303665910808777
IgG4-related disease,0.6252362055933484,0.19013605442176867,0.23774565381708235,0.7699074074074074,1,0,0,0.532161753590325,-0.04760959939531367,0.387490551776266
Indolent systemic mastocytosis,0.7448034769463341,0.19311224489795914,0.22706916099773242,0.8018140589569162,1,0,1,0.5747448979591837,-0.03395691609977328,0.5177343159486016
Indolent systemic mastocytosis (EMA),0.7650699168556311,0.21945389266817839,0.29346182917611485,0.7561413454270597,1,0,1,0.46267951625094483,-0.07400793650793647,0.47160808767951623
Invasive fungal infections pediatric ≥2yr,0.7782312925170067,0.4050736961451247,0.3117819349962207,0.4991213151927438,1,1,1,0.18733938019652308,0.09329176114890397,0.46644935752078603
Juvenile idiopathic arthritis (EMA Feb 2026),0.6714285714285714,0.6908068783068784,0.34370748299319726,0.691921768707483,1,1,1,0.34821428571428575,0.3470993953136811,0.3277210884353741
KRAS G12C+ mCRC,0.7391534391534391,0.8040343915343916,0.22322373393801964,0.7668178382464097,1,1,1,0.5435941043083901,0.580810657596372,0.5159297052154195
LDL-C elevation in statin-intolerant dyslipidemia,0.24083522297808013,0.707473544973545,0.25186130007558577,0.2570861678004535,0,1,0,0.005224867724867743,0.4556122448979592,-0.011026077097505638
MASH with fibrosis,0.5203892668178381,0.3801209372637944,0.2614606953892668,0.6566704459561602,1,0,0,0.3952097505668934,0.11866024187452762,0.25892857142857134
MSI-H/dMMR solid tumors (full approval conversion),0.6838151927437641,0.7572751322751322,0.2737622826908541,0.665693499622071,1,1,0,0.3919312169312169,0.4835128495842781,0.41005291005291
Measles prophylaxis post-exposure,0.4061413454270597,0.5525037792894936,0.540702947845805,0.7284013605442177,1,1,1,0.1876984126984127,0.011800831443688597,-0.13456160241874526
Metastatic colorectal cancer,0.2834467120181406,0.5326247165532879,0.4500944822373394,0.6288265306122449,1,1,1,0.17873204837490553,0.08253023431594853,-0.1666477702191988
Neoadj+adj HNSCC,0.5602985638699924,0.4248582766439909,0.22338435374149657,0.5705593348450491,1,1,0,0.3471749811035525,0.20147392290249433,0.3369142101284959
Nephrotic syndrome,0.4832105064247922,0.29505857898715043,0.5041950113378685,0.3368386243386243,1,1,1,-0.16735638699924416,-0.20913643235071805,-0.020984504913076296
Obstructive sleep apnea with obesity,0.21450302343159483,0.2401077097505669,0.21285903250188964,0.17150415721844292,1,1,1,-0.041354875283446724,0.027248677248677244,0.0016439909297051858
Oral tablet formulation for weight management,0.755650037792895,0.7309145880574452,0.25269274376417233,0.8308767951625095,1,1,1,0.5781840513983372,0.4782218442932729,0.5029572940287226
PKU expanded to ≥12yr,0.28512849584278155,0.17988473167044594,0.2644274376417234,0.3264833711262283,1,1,1,0.06205593348450489,-0.08454270597127744,0.020701058201058165
Palmoplantar pustulosis (PMDA),0.7448412698412697,0.6999622071050643,0.19775132275132273,0.7926492819349962,1,0,0,0.5948979591836734,0.5022108843537416,0.5470899470899471
Pancreatic NET,0.6082955404383975,0.6515873015873016,0.26706349206349206,0.7621315192743765,1,1,1,0.49506802721088444,0.38452380952380955,0.34123204837490545
Pediatric BRAF V600E low-grade glioma,0.7243008314436886,0.715079365079365,0.20846560846560844,0.4121031746031746,1,0,0,0.20363756613756614,0.5066137566137565,0.5158352229780802
Pediatric atopic dermatitis,0.4910241874527589,0.7043178382464097,0.22512282690854116,0.6249527588813303,1,0,1,0.39982993197278915,0.47919501133786857,0.26590136054421776
Pediatric glioma (EMA),0.6577286470143613,0.6265495086923658,0.34006991685563115,0.3183484504913076,1,1,1,-0.02172146636432354,0.28647959183673466,0.31765873015873014
"Pediatric low-grade glioma (+dabrafenib, BRAF V600E)",0.5514833711262283,0.6957671957671957,0.4386337868480726,0.5945672713529856,1,0,0,0.155933484504913,0.2571334089191231,0.11284958427815567
Ph+ CML-CP after 2+ TKIs,0.2211262282690854,0.8138133030990173,0.23607331821617533,0.20610355253212392,0,1,0,-0.029969765684051408,0.577739984882842,-0.014947089947089931
Ph+ CML-CP frontline (EMA Feb 2026),0.21305744520030231,0.835978835978836,0.27608654572940283,0.19351851851851848,0,1,0,-0.08256802721088435,0.5598922902494332,-0.06302910052910052
Pheochromocytoma/paraganglioma,0.6909013605442177,0.4417422524565382,0.29735449735449737,0.49025888133030987,1,1,1,0.1929043839758125,0.14438775510204083,0.3935468631897203
Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),0.6944349962207105,0.7016534391534391,0.30856953892668176,0.6417989417989418,1,1,1,0.33322940287226005,0.3930839002267574,0.3858654572940287
Polycythaemia vera and essential thrombocytopenia,0.4201625094482237,0.6892857142857143,0.5232048374905518,0.8175925925925925,1,1,1,0.29438775510204074,0.16608087679516248,-0.1030423280423281
Polymyalgia rheumatica,0.5354780801209372,0.6227135298563871,0.25240929705215415,0.6720804988662131,1,1,1,0.419671201814059,0.3703042328042329,0.2830687830687831
Primary humoral immunodeficiency pediatric 2-11yr,0.7694066515495086,0.7479497354497354,0.49049508692365834,0.8212301587301587,1,1,1,0.33073507180650036,0.2574546485260771,0.27891156462585026
Primary immunodeficiency pediatric (EMA),0.6543650793650794,0.6935846560846561,0.5357331821617536,0.8436791383219955,1,1,1,0.3079459561602419,0.15785147392290255,0.11863189720332579
Primary mediastinal large B-cell lymphoma,0.6773809523809524,0.7202380952380952,0.27140022675736963,0.7537226001511715,1,1,1,0.4823223733938019,0.4488378684807256,0.4059807256235828
Psoriasis in children 6-11 (cream),0.6840513983371126,0.7272770219198791,0.30765306122448977,0.7613662131519274,1,1,1,0.45371315192743766,0.4196239606953893,0.3763983371126228
RAS wild-type HER2+ metastatic colorectal cancer,0.6638227513227514,0.7718253968253967,0.2976946334089191,0.7335978835978836,1,1,1,0.4359032501889645,0.47413076341647764,0.36612811791383226
RET-fusion NSCLC (expanded),0.7944444444444445,0.25231481481481477,0.35602796674225246,0.6732709750566893,1,0,1,0.31724300831443686,-0.10371315192743769,0.43841647770219205
Reduce MACE in CVD + obesity/overweight,0.6195011337868481,0.6353458049886621,0.20181405895691606,0.6955215419501134,1,1,1,0.49370748299319733,0.43353174603174605,0.41768707482993206
Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),0.6954837490551776,0.5028061224489796,0.3375094482237339,0.5519463340891912,1,1,1,0.21443688586545734,0.1652966742252457,0.3579743008314437
Retinal vein occlusion,0.16654383975812545,0.21369047619047618,0.2543272864701436,0.8005432728647015,1,0,0,0.5462159863945579,-0.040636810279667396,-0.08778344671201813
Retinopathy of prematurity,0.7933106575963718,0.7799886621315194,0.2144935752078609,0.7844860166288737,1,1,1,0.5699924414210129,0.5654950869236586,0.5788170823885108
Schnitzler syndrome (Japan),0.7698412698412699,0.7693688586545729,0.2814153439153439,0.831245275888133,1,1,1,0.5498299319727891,0.48795351473922904,0.488425925925926
Spinal muscular atrophy (pediatric expansion),0.2481575963718821,0.18959750566893424,0.2012755102040816,0.2525037792894936,1,0,0,0.051228269085411976,-0.011678004535147363,0.046882086167800485
TRD monotherapy,0.5993669690098261,0.5191043083900226,0.280942932728647,0.6150982615268329,1,1,0,0.3341553287981859,0.23816137566137563,0.3184240362811791
Ulcerative colitis,0.7788312547241119,0.7306878306878307,0.2870984504913076,0.7875755857898715,1,1,1,0.500477135298564,0.4435893801965231,0.49173280423280424
Unresectable thymic carcinoma (PMDA),0.6973733938019652,0.688255857898715,0.312651171579743,0.4726757369614512,1,1,1,0.16002456538170823,0.37560468631897204,0.3847222222222222
Urothelial carcinoma (expanded population),0.45755857898715047,0.5707105064247922,0.35466742252456535,0.5637471655328797,1,1,1,0.2090797430083144,0.2160430839002268,0.10289115646258512
dMMR recurrent/advanced endometrial cancer,0.21436130007558574,0.16648715041572185,0.29157218442932725,0.5863095238095238,1,0,0,0.2947373393801966,-0.1250850340136054,-0.07721088435374152
dMMR/MSI-H primary advanced endometrial cancer,0.16740362811791382,0.20577286470143613,0.33669690098261523,0.5489984882842025,1,0,0,0.21230158730158727,-0.1309240362811791,-0.16929327286470142
dMMR/MSI-H primary advanced endometrial cancer (+chemo),0.19863000755857896,0.1748015873015873,0.23555366591080876,0.5508030990173848,1,0,0,0.31524943310657605,-0.060752078609221466,-0.0369236583522298
"mCRC BRAF V600E (traditional approval, was accelerated)",0.7521164021164021,0.7991685563114134,0.23407029478458044,0.7266534391534392,1,1,1,0.49258314436885875,0.565098261526833,0.5180461073318217
mHSPC + ADT,0.5341836734693878,0.6746315192743764,0.24429327286470143,0.5866307634164777,1,1,1,0.34233749055177626,0.43033824640967494,0.28989040060468635
