drug_id,disease_id,disease_name,primekg,drkg,biokg,all3
DB11823,DOID:1470,TRD monotherapy,1.0,1.0,0.0,False
DB12159,DOID:13565,Allergic fungal rhinosinusitis (AFRS) ≥6yr,1.0,1.0,1.0,True
DB09037,DOID:4001,Platinum-resistant ovarian carcinoma (PD-L1+ CPS≥1),1.0,1.0,1.0,True
DB00149,DOID:0050719,Cerebral folate transport deficiency,1.0,0.0,0.0,False
DB11700,DOID:6676,Acquired hypothalamic obesity,1.0,1.0,0.0,False
DB00514,DOID:10652,Agitation associated with Alzheimer's dementia,1.0,1.0,1.0,True
DB14962,DOID:1612,HER2+ early-stage BC (neoadjuvant + adjuvant),1.0,1.0,0.0,False
DB06606,DOID:9744,Delay T1D onset in children ≥1yr,1.0,1.0,1.0,True
DB00028,DOID:0111941,Primary humoral immunodeficiency pediatric 2-11yr,1.0,1.0,1.0,True
DB12839,DOID:9281,PKU expanded to ≥12yr,1.0,1.0,1.0,True
DB13928,DOID:9970,Oral tablet formulation for weight management,1.0,1.0,1.0,True
DB11718,DOID:0080199,"mCRC BRAF V600E (traditional approval, was accelerated)",1.0,1.0,1.0,True
DB12893,DOID:1612,HR+/HER2- breast cancer,1.0,1.0,0.0,False
DB11714,DOID:3717,Resectable gastric/GEJ adenocarcinoma (neoadj+adj +FLOT),1.0,1.0,1.0,True
DB01263,DOID:0050073,Invasive fungal infections pediatric ≥2yr,1.0,1.0,1.0,True
DB11817,DOID:676,Juvenile idiopathic arthritis (EMA Feb 2026),1.0,1.0,1.0,True
DB12597,DOID:0081088,Ph+ CML-CP frontline (EMA Feb 2026),0.0,1.0,0.0,False
DB15303,DOID:8947,Diabetic retinopathy/DME (EMA Mar+May 2026),1.0,0.0,0.0,False
DB00028,DOID:8622,Measles prophylaxis post-exposure,1.0,1.0,1.0,True
DB11834,DOID:8778,"Crohn's disease (moderate-severe, refractory)",1.0,1.0,1.0,True
DB11363,DOID:7360,"ALK+ solid tumors (tissue-agnostic, world-first)",1.0,1.0,0.0,False
DB15090,DOID:0110597,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),1.0,1.0,1.0,True
DB15212,DOID:3146,LDL-C elevation in statin-intolerant dyslipidemia,0.0,1.0,0.0,False
DB06168,DOID:4371,Schnitzler syndrome (Japan),1.0,1.0,1.0,True
DB09222,DOID:2219,Acquired hypofibrinogenemia in cardiovascular surgery,1.0,0.0,0.0,False
